Timestamp,Age: ,Gender:,Position in Academia:,Which municipality are you from?,Where in the political spectrum best describes you?,Religion:,Have you heard of ChatGPT?,Have you used ChatGPT?,Do you think the use of AI such as ChatGPT is plagiarism when students use it to write essays/prompts for themselves? ,"Do you think the use of ChatGPT for research is unethical/plagiarism? (in this case, research means gathering information from multiple sources and condensing it into a summary-style format for learning purposes).",Do you think the use of ChatGPT for commercial/monetary purposes is unethical? Some examples of this may include journalists that are part of social companies using ChatGPT to write articles or authors using ChatGPT to write storylines.,Rate the effect ChatGPT has on students' development? (in terms of learning and development of academic-related skills),Do you think ChatGPT leaves academic course instructors at an advantage or disadvantage? ,"Do you think the use of ChatGPT is unethical when used for personal reasons. Some examples include responding to emails, creating schedules for yourself, and lifestyle advice. "
2/18/2023 18:40:40,18-23,Female,Student (Full-time),Mississauga,2,Christianity,Yes,Yes,Yes,Yes,Yes,2,2,No
2/18/2023 18:45:34,18-23,Female,Student (Full-time),Other,1,No Religion,Yes,No,Yes,Yes,Yes,2,2,No
2/18/2023 18:50:00,18-23,Male,Student (Full-time),Markham,2,Hinduism,Yes,Yes,No,No,No,1,3,Yes
2/18/2023 18:54:05,18-23,Female,Student (Full-time),Mississauga,1,Islam,Yes,No,Yes,Yes,Yes,3,4,No
2/18/2023 18:57:02,18-23,Male,Undergraduate Student (Full-time),Toronto,3,Christianity,Yes,No,Yes,Yes,Yes,3,3,No
2/18/2023 19:08:57,18-23,Female,Undergraduate Student (Full-time),Mississauga,2,Islam,No,No,Yes,Yes,No,2,2,No
2/18/2023 19:10:55,18-23,Male,Undergraduate Student (Full-time),Mississauga,2,No Religion,Yes,No,Yes,No,Yes,3,2,No
2/18/2023 19:12:42,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,Yes,No,No,No,5,5,No
2/18/2023 19:12:43,18-23,Male,Undergraduate Student (Full-time),Mississauga,2,Islam,Yes,Yes,Yes,Yes,Yes,2,3,Yes
2/18/2023 19:15:25,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,No Religion,Yes,Yes,No,No,No,3,3,No
2/18/2023 19:17:19,18-23,Female,Undergraduate Student (Full-time),Mississauga,2,Islam,Yes,No,No,No,No,3,3,No
2/18/2023 19:22:03,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,Yes,Yes,No,No,3,3,No
2/18/2023 19:23:16,18-23,Male,Undergraduate Student (Full-time),Waterloo,4,Christianity,Yes,Yes,Yes,No,No,3,4,No
2/18/2023 19:23:20,18-23,Female,Undergraduate Student (Full-time),Oakville,3,Islam,Yes,No,Yes,No,Yes,3,3,No
2/18/2023 19:24:17,50+,Male,Master's Degree,Markham,3,Christianity,Yes,No,Yes,Yes,No,1,1,No
2/18/2023 19:26:34,18-23,Male,Undergraduate Student (Full-time),Toronto,3,Christianity,Yes,No,Yes,No,Yes,3,2,No
2/18/2023 19:26:41,18-23,Male,Undergraduate Student (Full-time),Other,1,Buddhism,Yes,No,Yes,No,Yes,4,3,No
2/18/2023 19:27:25,18-23,Male,Undergraduate Student (Full-time),Toronto,3,Christianity,Yes,No,No,No,Yes,3,3,No
2/18/2023 19:33:59,18-23,Male,Undergraduate Student (Full-time),Vaughan,3,Christianity,Yes,No,Yes,Yes,Yes,2,2,No
2/18/2023 19:35:15,18-23,Female,Undergraduate Student (Full-time),Toronto,3,Islam,Yes,Yes,No,Yes,Yes,3,3,No
2/18/2023 19:36:11,Under 18,Male,Undergraduate Student (Full-time),Toronto,2,Christianity,No,No,Yes,Yes,No,4,4,No
2/18/2023 19:39:23,18-23,Male,Undergraduate Student (Full-time),Other,3,Christianity,Yes,No,Yes,Yes,No,3,2,No
2/18/2023 19:53:03,18-23,Male,Undergraduate Student (Full-time),Toronto,3,No Religion,Yes,Yes,Yes,No,No,3,2,No
2/18/2023 20:02:16,18-23,Male,Undergraduate Student (Full-time),Toronto,5,Islam,Yes,Yes,Yes,No,Yes,3,4,No
2/18/2023 20:11:14,18-23,Female,Undergraduate Student (Full-time),Brampton,2,Hinduism,Yes,Yes,Yes,No,Yes,4,5,No
2/18/2023 20:13:10,30-40,Prefer Not To Say,Professor,Brampton,1,No Religion,Yes,Yes,Yes,Yes,Yes,5,5,Yes
2/18/2023 20:45:19,18-23,Male,Undergraduate Student (Part-time),Other,4,Buddhism,No,No,No,No,No,3,3,No
2/18/2023 20:51:04,24-30,Male,Undergraduate Student (Full-time),Toronto,3,No Religion,Yes,Yes,No,No,Yes,4,3,No
2/18/2023 20:52:02,18-23,Female,Undergraduate Student (Full-time),Other,2,Christianity,No,No,Yes,No,No,4,4,No
2/18/2023 20:59:19,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,No,Yes,Yes,Yes,2,2,No
2/18/2023 21:00:17,18-23,Female,Undergraduate Student (Full-time),Brampton,2,Christianity,Yes,No,Yes,Yes,Yes,3,3,No
2/18/2023 21:01:22,18-23,Female,Undergraduate Student (Full-time),Mississauga,2,Islam,Yes,Yes,No,No,No,3,3,No
2/18/2023 21:04:12,18-23,Male,Undergraduate Student (Full-time),Other,1,Buddhism,Yes,Yes,Yes,No,No,2,3,No
2/18/2023 21:06:52,18-23,Male,Undergraduate Student (Full-time),Brampton,2,No Religion,Yes,Yes,Yes,No,No,5,1,No
2/18/2023 21:07:04,18-23,Prefer Not To Say,Undergraduate Student (Full-time),Mississauga,3,No Religion,Yes,Yes,No,No,No,3,3,No
2/18/2023 21:12:28,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,Yes,No,No,No,3,2,No
2/18/2023 21:12:47,18-23,Male,Undergraduate Student (Full-time),Toronto,4,Christianity,Yes,Yes,Yes,No,No,3,2,No
2/18/2023 21:16:38,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Hinduism,Yes,No,Yes,Yes,No,3,1,No
2/18/2023 22:04:00,18-23,Male,Undergraduate Student (Full-time),Toronto,3,Hinduism,Yes,Yes,Yes,Yes,No,2,2,No
2/18/2023 22:09:43,18-23,Prefer Not To Say,Undergraduate Student (Full-time),Vaughan,2,Buddhism,Yes,No,Yes,No,Yes,4,3,No
2/18/2023 23:06:33,18-23,Male,Undergraduate Student (Full-time),Toronto,2,Islam,Yes,Yes,Yes,No,No,2,2,No
2/18/2023 23:08:34,18-23,Female,Undergraduate Student (Full-time),Mississauga,3,No Religion,No,No,No,No,No,2,3,No
2/18/2023 23:26:40,18-23,Male,Undergraduate Student (Full-time),Mississauga,1,Christianity,Yes,No,Yes,No,No,3,3,Yes
2/19/2023 1:29:34,18-23,Female,Undergraduate Student (Full-time),Brampton,1,Hinduism,Yes,Yes,Yes,Yes,No,3,2,No
2/19/2023 2:12:47,18-23,Female,Undergraduate Student (Full-time),Toronto,3,Christianity,Yes,Yes,Yes,No,Yes,3,2,No
2/19/2023 3:36:14,18-23,Male,Undergraduate Student (Full-time),Other,3,Buddhism,Yes,No,No,No,Yes,3,3,Yes
2/19/2023 9:31:43,18-23,Male,Undergraduate Student (Full-time),Toronto,3,Christianity,Yes,Yes,Yes,No,No,3,2,No
2/19/2023 10:14:26,30-40,Male,PhD,Other,5,Christianity,Yes,No,Yes,No,No,4,3,Yes
2/19/2023 13:52:23,18-23,Male,Undergraduate Student (Full-time),Markham,3,Hinduism,Yes,No,Yes,No,Yes,3,3,No
2/19/2023 14:09:02,18-23,Female,Undergraduate Student (Full-time),Mississauga,3,No Religion,Yes,Yes,No,No,No,3,2,No
2/19/2023 15:56:40,18-23,Male,Undergraduate Student (Full-time),Waterloo,3,Islam,Yes,No,Yes,No,No,3,3,No
2/19/2023 21:20:29,18-23,Male,Undergraduate Student (Full-time),Toronto,2,Christianity,Yes,Yes,Yes,No,No,2,1,No
2/20/2023 8:44:17,18-23,Male,Undergraduate Student (Full-time),Other,3,Buddhism,Yes,No,Yes,Yes,No,2,3,Yes
2/20/2023 22:58:07,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,No,No,No,No,3,3,No
2/21/2023 12:34:21,18-23,Female,Undergraduate Student (Full-time),Mississauga,3,Christianity,Yes,No,Yes,Yes,Yes,2,2,No
2/21/2023 14:32:27,18-23,Male,Undergraduate Student (Full-time),Mississauga,2,No Religion,Yes,Yes,No,No,No,4,3,No
2/21/2023 14:33:03,18-23,Male,Undergraduate Student (Full-time),Ajax,1,Hinduism,Yes,Yes,No,No,No,5,5,No
2/21/2023 14:33:25,18-23,Male,Undergraduate Student (Full-time),Mississauga,1,No Religion,Yes,Yes,No,No,Yes,5,2,No
2/21/2023 14:38:28,18-23,Male,Undergraduate Student (Full-time),Mississauga,1,Islam,Yes,Yes,Yes,No,No,3,4,No
2/21/2023 14:41:51,18-23,Male,Undergraduate Student (Full-time),York,2,No Religion,Yes,Yes,Yes,No,No,4,3,No
2/21/2023 14:42:27,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,Yes,Yes,No,Yes,4,3,No
2/21/2023 15:49:14,18-23,Male,Undergraduate Student (Full-time),Milton,5,Islam,Yes,Yes,Yes,No,Yes,2,2,No
2/21/2023 16:47:51,18-23,Male,Undergraduate Student (Full-time),Other,3,Islam,Yes,Yes,No,No,No,5,5,No
2/21/2023 17:31:29,18-23,Female,Undergraduate Student (Full-time),Other,2,No Religion,Yes,No,No,No,Yes,2,2,No
2/21/2023 17:33:14,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Christianity,Yes,No,No,No,Yes,3,2,No
2/21/2023 19:11:25,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,Yes,No,No,No,5,5,No
2/21/2023 19:55:23,18-23,Female,Undergraduate Student (Full-time),Mississauga,1,Hinduism,Yes,Yes,Yes,No,Yes,4,3,No
2/21/2023 19:55:48,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,No Religion,Yes,Yes,No,No,No,4,4,No
2/21/2023 20:21:14,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,No Religion,Yes,Yes,Yes,Yes,Yes,3,4,No
2/21/2023 20:24:50,18-23,Male,Undergraduate Student (Full-time),Toronto,1,Other,Yes,No,Yes,Yes,Yes,1,1,No
2/21/2023 20:48:08,18-23,Male,Undergraduate Student (Full-time),Kitchener,3,No Religion,Yes,No,Yes,No,No,2,3,No
2/21/2023 20:48:52,18-23,Female,Undergraduate Student (Full-time),Mississauga,2,Hinduism,Yes,No,Yes,No,Yes,4,2,No
2/21/2023 20:59:10,18-23,Male,Undergraduate Student (Full-time),Mississauga,2,Islam,Yes,Yes,Yes,No,Yes,3,4,No
2/21/2023 21:11:52,18-23,Female,Undergraduate Student (Full-time),Toronto,2,Christianity,Yes,No,Yes,No,Yes,3,2,No
2/21/2023 21:12:53,18-23,Female,Undergraduate Student (Full-time),Toronto,3,Islam,Yes,No,Yes,No,Yes,2,2,No
2/21/2023 21:15:54,18-23,Female,Undergraduate Student (Full-time),Mississauga,1,Other,No,No,Yes,Yes,Yes,2,1,Yes
2/21/2023 21:17:09,18-23,Female,Undergraduate Student (Full-time),Toronto,3,Islam,Yes,Yes,Yes,No,Yes,3,3,No
2/21/2023 21:29:11,18-23,Male,Undergraduate Student (Full-time),Mississauga,4,Hinduism,Yes,Yes,Yes,No,No,4,3,No
2/21/2023 21:44:09,18-23,Female,Undergraduate Student (Full-time),Oakville,4,Christianity,Yes,Yes,Yes,No,No,3,3,No
2/21/2023 22:06:18,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,No,No,Yes,Yes,No,3,2,No
2/21/2023 22:19:36,18-23,Female,Undergraduate Student (Full-time),Mississauga,2,Islam,Yes,No,No,No,No,4,4,No
2/22/2023 10:45:35,40-50,Female,Professor,Other,3,No Religion,Yes,Yes,Yes,No,No,3,3,No
2/22/2023 11:16:20,18-23,Male,Undergraduate Student (Full-time),Mississauga,2,No Religion,Yes,No,Yes,No,Yes,2,2,No
2/22/2023 22:44:16,18-23,Female,Undergraduate Student (Full-time),Toronto,2,No Religion,Yes,Yes,Yes,Yes,Yes,2,2,No
2/22/2023 23:06:29,18-23,Female,Undergraduate Student (Full-time),Mississauga,2,Other,Yes,Yes,Yes,Yes,Yes,2,3,No
2/23/2023 21:10:29,18-23,Female,Undergraduate Student (Full-time),Mississauga,2,Christianity,Yes,No,Yes,No,Yes,2,2,No
2/23/2023 21:10:34,Under 18,Female,Undergraduate Student (Full-time),Mississauga,1,Christianity,Yes,No,Yes,Yes,Yes,3,2,No
2/23/2023 21:12:41,18-23,Female,Undergraduate Student (Full-time),Mississauga,3,Christianity,No,No,No,No,Yes,2,2,No
2/23/2023 21:19:52,18-23,Female,Undergraduate Student (Full-time),Mississauga,3,Christianity,No,No,Yes,Yes,Yes,2,3,No
2/23/2023 21:31:10,18-23,Female,Undergraduate Student (Full-time),Toronto,2,Buddhism,Yes,Yes,Yes,No,Yes,4,5,No
2/23/2023 21:47:46,18-23,Female,Undergraduate Student (Full-time),Mississauga,3,Christianity,Yes,No,Yes,Yes,Yes,1,1,Yes
2/23/2023 21:51:15,18-23,Female,Undergraduate Student (Full-time),Mississauga,3,No Religion,Yes,No,Yes,Yes,Yes,2,2,No
2/23/2023 22:06:36,18-23,Prefer Not To Say,Undergraduate Student (Full-time),Other,3,Christianity,Yes,No,Yes,Yes,Yes,4,1,Yes
2/23/2023 22:18:50,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Islam,Yes,Yes,Yes,No,No,3,2,No
2/23/2023 23:05:25,18-23,Male,Undergraduate Student (Full-time),Toronto,2,Sikhism,Yes,Yes,No,No,Yes,4,3,No
2/24/2023 0:09:50,18-23,Male,Undergraduate Student (Full-time),Toronto,3,Sikhism,Yes,Yes,Yes,No,No,3,3,No
2/24/2023 2:01:54,18-23,Male,Undergraduate Student (Full-time),Mississauga,2,Christianity,Yes,Yes,No,No,Yes,3,3,No
2/24/2023 4:10:12,18-23,Male,Undergraduate Student (Full-time),Mississauga,2,No Religion,Yes,Yes,Yes,No,Yes,2,2,No
2/24/2023 9:12:04,18-23,Male,Undergraduate Student (Full-time),Mississauga,3,Christianity,Yes,No,Yes,No,No,2,2,No
2/24/2023 10:58:12,18-23,Male,Faculty Member,Pickering,2,No Religion,Yes,Yes,Yes,No,Yes,3,2,No
2/24/2023 11:32:18,18-23,Male,Undergraduate Student (Full-time),Markham,3,Hinduism,Yes,No,Yes,Yes,No,3,3,Yes
2/24/2023 16:01:24,18-23,Female,Undergraduate Student (Full-time),Toronto,3,Islam,Yes,Yes,Yes,No,No,3,2,No
2/27/2023 16:36:04,18-23,Male,Undergraduate Student (Full-time),Brampton,4,Sikhism,Yes,Yes,Yes,No,No,4,4,No
2/28/2023 16:48:24,18-23,Male,Undergraduate Student (Full-time),Other,3,Islam,Yes,Yes,No,No,Yes,4,4,No
3/15/2023 23:11:01,30-40,Male,PhD,Other,2,Christianity,Yes,Yes,Yes,No,No,2,2,No
3/15/2023 23:24:54,30-40,Prefer Not To Say,Professor,Oshawa,2,No Religion,Yes,Yes,Yes,No,Yes,1,2,No
3/16/2023 1:06:00,40-50,Male,Faculty Member,Other,3,Christianity,Yes,Yes,Yes,No,No,1,1,No
3/16/2023 11:22:01,30-40,Female,Post-Doctoral Fellow,Other,2,Christianity,Yes,No,Yes,Yes,Yes,2,2,No
3/16/2023 16:59:21,18-23,Female,Undergraduate Student (Full-time),Toronto,2,No Religion,Yes,Yes,Yes,No,Yes,2,3,No
3/16/2023 17:27:41,30-40,Male,Post-Doctoral Fellow,Other,2,No Religion,Yes,Yes,No,No,No,3,4,Yes
3/18/2023 17:50:54,40-50,Prefer Not To Say,Faculty Member,Toronto,3,Christianity,Yes,No,Yes,No,Yes,3,2,No